step,loss,lr,exact_acc,digit_acc,elapsed
11700,0.003691,3.00e-04,,,3432.3
11800,0.003310,3.00e-04,,,3434.1
11900,0.003075,3.00e-04,,,3445.1
12000,0.002741,3.00e-04,,,3455.8
12000,0.002741,3.00e-04,1.0000,1.0000,3459.6
12100,0.003180,3.00e-04,,,3467.6
12200,0.003065,3.00e-04,,,3475.5
12300,0.002895,3.00e-04,,,3496.3
12400,0.003553,3.00e-04,,,3569.5
12500,0.002866,3.00e-04,,,3576.5
12500,0.002866,3.00e-04,1.0000,1.0000,3585.2
12600,0.003387,3.00e-04,,,3595.9
12700,0.003516,3.00e-04,,,3605.8
12800,0.003401,3.00e-04,,,3629.9
12900,0.003570,3.00e-04,,,3651.6
13000,0.003010,3.00e-04,,,3680.5
13000,0.003010,3.00e-04,1.0000,1.0000,3696.8
13100,0.003307,3.00e-04,,,3713.7
13200,0.003263,3.00e-04,,,3740.5
13300,0.003193,3.00e-04,,,3751.4
13400,0.003428,3.00e-04,,,3780.5
13500,0.003017,3.00e-04,,,3801.7
13500,0.003017,3.00e-04,1.0000,1.0000,3810.7
13600,0.003109,3.00e-04,,,3830.4
13700,0.003256,3.00e-04,,,3849.7
13800,0.003617,3.00e-04,,,3876.0
13900,0.003390,3.00e-04,,,3902.4
14000,0.003173,3.00e-04,,,3918.1
14000,0.003173,3.00e-04,1.0000,1.0000,3930.0
14100,0.002944,3.00e-04,,,3942.9
14200,0.003370,3.00e-04,,,3967.1
14300,0.002880,3.00e-04,,,3972.3
14400,0.003600,3.00e-04,,,4003.1
14500,0.002898,3.00e-04,,,4023.3
14500,0.002898,3.00e-04,1.0000,1.0000,4046.3
14600,0.003370,3.00e-04,,,4064.1
14700,0.002940,3.00e-04,,,4082.2
14800,0.003078,3.00e-04,,,4097.4
14900,0.002859,3.00e-04,,,4116.9
15000,0.003003,3.00e-04,,,4149.5
15000,0.003003,3.00e-04,1.0000,1.0000,4162.8
15100,0.002712,3.00e-04,,,4183.9
15200,0.003169,3.00e-04,,,4209.6
15300,0.003085,3.00e-04,,,4235.4
15400,0.002590,3.00e-04,,,4250.0
15500,0.003120,3.00e-04,,,4273.4
15500,0.003120,3.00e-04,1.0000,1.0000,4285.1
15600,0.004733,3.00e-04,,,4303.9
15700,0.002897,3.00e-04,,,4316.7
15800,0.003249,3.00e-04,,,4328.8
15900,0.002944,3.00e-04,,,4346.9
16000,0.003550,3.00e-04,,,4359.0
16000,0.003550,3.00e-04,1.0000,1.0000,4365.5
16100,0.002899,3.00e-04,,,4377.9
16200,0.003100,3.00e-04,,,4410.8
16300,0.003025,3.00e-04,,,4426.4
16400,0.002973,3.00e-04,,,4448.0
16500,0.003160,3.00e-04,,,4462.5
16500,0.003160,3.00e-04,1.0000,1.0000,4471.5
16600,0.002884,3.00e-04,,,4486.9
16700,0.003759,3.00e-04,,,4518.4
16800,0.002666,3.00e-04,,,4526.9
16900,0.002880,3.00e-04,,,4544.1
17000,0.002869,3.00e-04,,,4557.7
17000,0.002869,3.00e-04,1.0000,1.0000,4560.9
17100,0.002967,3.00e-04,,,4587.7
17200,0.002622,3.00e-04,,,4613.4
17300,0.003457,3.00e-04,,,4630.1
17400,0.002853,3.00e-04,,,4650.9
17500,0.002401,3.00e-04,,,4672.9
17500,0.002401,3.00e-04,1.0000,1.0000,4676.0
17600,0.003553,3.00e-04,,,4699.1
17700,0.002973,3.00e-04,,,4716.9
17800,0.002815,3.00e-04,,,4739.6
17900,0.002651,3.00e-04,,,4750.8
18000,0.002801,3.00e-04,,,4764.1
18000,0.002801,3.00e-04,1.0000,1.0000,4783.1
18100,0.003156,3.00e-04,,,4805.5
18200,0.003194,3.00e-04,,,4830.3
18300,0.003263,3.00e-04,,,4845.4
18400,0.002751,3.00e-04,,,4865.1
18500,0.002550,3.00e-04,,,4898.1
18500,0.002550,3.00e-04,1.0000,1.0000,4916.0
18600,0.003328,3.00e-04,,,4939.1
18700,0.002749,3.00e-04,,,4968.4
18800,0.003072,3.00e-04,,,4993.4
